Variable,Cluster_0,Cluster_1,p-value,Test_Used,Effect_Sizes
total_fat_loss_%,-4.79 ± 3.26 (n=112),-5.10 ± 3.65 (n=157),0.483,anova,G1vsG2: 0.087
last_aval_muscle_%,32.73 ± 4.16 (n=112),32.46 ± 4.46 (n=157),0.618,anova,G1vsG2: 0.062
total_muscle_change_%,2.72 ± 1.91 (n=112),2.94 ± 2.18 (n=157),0.386,anova,G1vsG2: -0.107
hunger_yn,54 (48.2%),153 (97.5%),<0.001,fisher_exact,N/A
satiety_yn,18 (16.1%),157 (100.0%),<0.001,fisher_exact,N/A
emotional_eating_yn,94 (83.9%),142 (90.4%),0.156,chi_square,N/A
emotional_eating_value_likert,0 (0.0%),10 (6.4%),0.006,fisher_exact,N/A
quantity_control_likert,3 (2.7%),7 (4.5%),0.529,fisher_exact,N/A
impulse_control_likert,5 (4.5%),5 (3.2%),0.826,chi_square,N/A
womens_health_and_pregnancy,36 (32.1%),44 (28.0%),0.553,chi_square,N/A
mental_health,32 (28.6%),44 (28.0%),1.000,chi_square,N/A
family_issues,2 (1.8%),14 (8.9%),0.017,fisher_exact,N/A
medication_disease_injury,11 (9.8%),13 (8.3%),0.826,chi_square,N/A
physical_inactivity,22 (19.6%),38 (24.2%),0.461,chi_square,N/A
eating_habits,48 (42.9%),55 (35.0%),0.240,chi_square,N/A
schedule,9 (8.0%),9 (5.7%),0.619,chi_square,N/A
smoking_cessation,6 (5.4%),7 (4.5%),0.960,chi_square,N/A
treatment_discontinuation_or_relapse,4 (3.6%),11 (7.0%),0.287,fisher_exact,N/A
pandemic,11 (9.8%),23 (14.6%),0.323,chi_square,N/A
lifestyle_circumstances,15 (13.4%),24 (15.3%),0.795,chi_square,N/A
none_of_above,0 (0.0%),0 (0.0%),1.000,fisher_exact,N/A
40d_dropout,38 (33.9%),53 (33.8%),1.000,chi_square,N/A
wl_40d_%,-7.93 ± 3.41 (n=74),-8.23 ± 3.13 (n=104),0.546,anova,G1vsG2: 0.092
40d_fat_loss_%,-4.42 ± 1.99 (n=74),-4.81 ± 2.03 (n=104),0.207,anova,G1vsG2: 0.193
40d_muscle_change_%,2.57 ± 1.27 (n=74),2.85 ± 1.35 (n=104),0.157,anova,G1vsG2: -0.216
60d_dropout,54 (48.2%),85 (54.1%),0.404,chi_square,N/A
wl_60d_%,-9.95 ± 4.16 (n=58),-10.71 ± 2.98 (n=72),0.227,anova,G1vsG2: 0.214
60d_fat_loss_%,-5.48 ± 2.33 (n=58),-6.17 ± 1.99 (n=72),0.072,anova,G1vsG2: 0.320
60d_muscle_change_%,3.15 ± 1.44 (n=58),3.61 ± 1.33 (n=72),0.061,anova,G1vsG2: -0.333
80d_dropout,73 (65.2%),100 (63.7%),0.903,chi_square,N/A
wl_80d_%,-11.48 ± 4.51 (n=39),-11.77 ± 2.97 (n=57),0.703,anova,G1vsG2: 0.079
80d_fat_loss_%,-6.26 ± 2.57 (n=39),-6.84 ± 2.03 (n=57),0.219,anova,G1vsG2: 0.257
80d_muscle_change_%,3.50 ± 1.53 (n=39),3.98 ± 1.31 (n=57),0.104,anova,G1vsG2: -0.341
5%_wl_achieved,86 (76.8%),111 (70.7%),0.331,chi_square,N/A
days_to_5%_wl,23.12 ± 19.67 (n=86),20.22 ± 11.20 (n=111),0.974,kruskal_wallis,G1vsG2: 0.187
10%_wl_achieved,48 (42.9%),72 (45.9%),0.716,chi_square,N/A
days_to_10%_wl,52.17 ± 28.31 (n=48),50.92 ± 21.67 (n=72),0.728,kruskal_wallis,G1vsG2: 0.051
15%_wl_achieved,23 (20.5%),29 (18.5%),0.790,chi_square,N/A
days_to_15%_wl,92.13 ± 37.18 (n=23),94.45 ± 35.12 (n=29),0.423,kruskal_wallis,G1vsG2: -0.064
